date,applied,rollbacks,caps,fp,fn_neg,fn_spk,orig_smape,corr_smape,delta
2025-11-01,0,24,0,0,4,0,23.468331959580734,23.468331959580734,0.0
2025-11-02,6,24,0,0,0,7,29.83356326560298,26.82535610791929,3.0082
2025-11-03,20,24,0,15,0,0,11.840060004547237,23.74482768893449,-11.9048
2025-11-04,13,24,0,13,0,0,18.083622906084372,26.215729809789877,-8.1321
2025-11-05,13,24,0,8,0,0,12.995677218126215,13.050701447057417,-0.055
2025-11-06,3,24,0,3,0,0,9.604180296992082,13.047397222626403,-3.4432
2025-11-07,0,24,0,0,0,0,3.971913806541379,3.971913806541379,0.0
2025-11-08,4,24,0,4,0,0,24.302496172348935,28.771990912437523,-4.4695
2025-11-09,5,24,0,1,0,0,29.631571174175292,28.4777609754848,1.1538
2025-11-10,0,24,0,0,0,0,40.241404737227775,40.241404737227775,0.0
2025-11-11,5,24,0,5,0,0,32.87342898736787,33.65119127671299,-0.7778
2025-11-12,5,24,0,4,0,0,6.762326547563764,9.734294250853468,-2.972
2025-11-13,5,24,0,1,0,0,12.182740237718411,11.687090933009118,0.4956
2025-11-14,4,24,0,1,0,0,6.891655758583591,6.005501185563219,0.8862
2025-11-15,5,24,0,5,0,0,46.76447181246512,47.34514927125627,-0.5807
2025-11-16,11,24,0,2,0,0,57.76476454925083,51.21607734382102,6.5487
2025-11-17,1,24,0,0,1,0,54.819242806868104,50.91275966750673,3.9065
2025-11-18,5,24,0,5,0,0,29.847825839280368,32.306302620698794,-2.4585
2025-11-19,5,24,0,4,0,0,11.954929145642685,13.499558479259214,-1.5446
2025-11-20,3,24,0,0,0,0,34.575464117503294,18.638379906597542,15.9371
2025-11-21,5,24,0,5,0,0,25.319702184618137,25.88647097794512,-0.5668
2025-11-22,5,24,0,5,0,0,8.425864721934557,10.390363198978005,-1.9645
2025-11-23,0,24,0,0,0,0,14.273231988142875,14.273231988142875,0.0
2025-11-24,9,24,0,5,0,1,64.66850334561856,54.76108534424243,9.9074
2025-11-25,5,24,0,0,1,0,62.04837454727726,46.988384502857734,15.06
2025-11-26,5,24,0,0,0,0,22.7699951256905,19.913673288708708,2.8563
2025-11-27,12,24,0,2,1,0,32.698865740641466,30.139935608306097,2.5589
2025-11-28,5,24,0,3,0,0,20.126217396951866,20.794346355421307,-0.6681
2025-11-29,4,24,0,4,0,0,28.218353655131434,31.80320849894482,-3.5849
2025-11-30,6,24,0,3,0,0,37.01329273086725,36.42093222024065,0.5924
2025-12-01,0,24,0,0,0,0,13.865198578318957,13.865198578318957,0.0
2025-12-02,0,24,0,0,1,0,49.36156057905576,49.36156057905576,0.0
2025-12-03,5,24,0,3,0,0,15.744990031345573,16.872845459467083,-1.1279
2025-12-04,5,24,0,3,0,0,18.150820078487158,17.611762388412387,0.5391
2025-12-05,9,24,0,7,0,0,40.30413888810938,46.123500690775,-5.8194
2025-12-06,6,24,0,5,0,0,60.2463845402564,63.984177242995166,-3.7378
2025-12-07,5,24,0,3,0,0,42.01993247226905,43.03451278876171,-1.0146
2025-12-08,0,24,0,0,0,0,16.619169500917597,16.619169500917597,0.0
2025-12-09,1,24,0,1,0,0,22.052796925798347,22.537702492712807,-0.4849
2025-12-10,0,24,0,0,0,0,6.8145524893977365,6.8145524893977365,0.0
2025-12-11,1,24,0,0,0,0,67.14866513806776,64.81162510324104,2.337
2025-12-12,0,24,0,0,0,0,18.50100590782727,18.50100590782727,0.0
2025-12-13,0,24,0,0,0,0,17.198064786728974,17.198064786728974,0.0
2025-12-14,0,24,0,0,1,0,40.50287915847106,40.50287915847106,0.0
2025-12-15,0,24,0,0,0,0,39.51295831288773,39.51295831288773,0.0
2025-12-16,0,24,0,0,0,0,8.656362398369454,8.656362398369454,0.0
2025-12-17,0,24,0,0,0,0,20.100060372853957,20.100060372853957,0.0
2025-12-18,5,24,0,0,0,0,48.13101718128293,38.52156103043195,9.6095
2025-12-19,0,24,0,0,0,0,62.69326282908826,62.69326282908826,0.0
2025-12-20,0,24,0,0,1,0,45.051348606839156,45.051348606839156,0.0
2025-12-21,4,24,0,0,0,0,41.68510594495065,22.25040947156609,19.4347
2025-12-22,0,24,0,0,0,0,9.720846183002706,9.720846183002706,0.0
2025-12-23,0,24,0,0,0,0,29.367123549500484,29.367123549500484,0.0
