date,total_hours,selector_sgdf,selector_da,p3_applied,overlap,conflicts
2025-11-03,24,1,23,0,0,0
2025-11-10,24,1,23,0,0,0
2025-11-16,24,2,22,0,0,0
2025-11-22,24,0,24,0,0,0
2025-11-28,24,0,24,0,0,0
2025-12-05,24,0,24,0,0,0
2025-12-10,24,0,24,0,0,0
2025-12-16,24,0,24,0,0,0
2025-12-22,24,0,24,0,0,0
2025-12-28,24,0,24,0,0,0
2026-01-03,24,3,21,0,0,0
2026-01-10,24,2,22,0,0,0
2026-01-17,24,5,19,0,0,0
2026-01-22,24,0,24,0,0,0
2026-01-28,24,0,24,1,0,0
2026-02-01,24,0,24,0,0,0
2026-02-10,24,0,24,0,0,0
2026-02-15,24,0,24,8,0,0
2026-02-21,24,0,24,15,0,0
2026-02-25,24,0,24,6,0,0
