task,target_day,business_day,ds,hour_business,period,y_true,actual_available_at,source_file
dayahead,2026-01-25,2026-01-25,2026-01-25 01:00:00,1,1_8,329.5,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-26 00:00:00,24,17_24,435.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 23:00:00,23,17_24,447.3,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 22:00:00,22,17_24,406.06,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 21:00:00,21,17_24,450.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 20:00:00,20,17_24,451.335,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 19:00:00,19,17_24,462.925,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 17:00:00,17,17_24,452.43,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 16:00:00,16,9_16,420.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 15:00:00,15,9_16,348.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 14:00:00,14,9_16,276.5,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 13:00:00,13,9_16,234.375,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 18:00:00,18,17_24,460.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 11:00:00,11,9_16,330.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 12:00:00,12,9_16,243.375,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 03:00:00,3,1_8,330.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 04:00:00,4,1_8,315.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 05:00:00,5,1_8,315.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 06:00:00,6,1_8,299.5,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 02:00:00,2,1_8,330.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 08:00:00,8,1_8,340.0,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 09:00:00,9,9_16,358.225,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 10:00:00,10,9_16,328.5,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-25,2026-01-25,2026-01-25 07:00:00,7,1_8,241.5,2026-06-27T02:41:21.560632+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 14:00:00,14,9_16,324.175,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-27 00:00:00,24,17_24,403.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 23:00:00,23,17_24,402.5,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 22:00:00,22,17_24,400.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 21:00:00,21,17_24,426.32,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 20:00:00,20,17_24,433.72,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 19:00:00,19,17_24,478.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 17:00:00,17,17_24,491.44,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 16:00:00,16,9_16,405.75,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 15:00:00,15,9_16,232.48,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 13:00:00,13,9_16,329.15,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 18:00:00,18,17_24,480.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 11:00:00,11,9_16,500.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 02:00:00,2,1_8,448.5,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 03:00:00,3,1_8,430.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 04:00:00,4,1_8,430.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 05:00:00,5,1_8,418.75,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 06:00:00,6,1_8,420.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 01:00:00,1,1_8,416.75,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 07:00:00,7,1_8,425.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 10:00:00,10,9_16,530.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 12:00:00,12,9_16,396.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 08:00:00,8,1_8,464.238,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
