task,target_day,business_day,ds,hour_business,period,y_true,actual_available_at,source_file
realtime,2026-01-25,2026-01-25,2026-01-25 01:00:00,1,1_8,301.561,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-26 00:00:00,24,17_24,333.527,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 23:00:00,23,17_24,386.387,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 22:00:00,22,17_24,490.202,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 21:00:00,21,17_24,457.861,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 20:00:00,20,17_24,390.47,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 19:00:00,19,17_24,357.897,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 17:00:00,17,17_24,414.759,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 16:00:00,16,9_16,337.436,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 15:00:00,15,9_16,303.185,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 14:00:00,14,9_16,160.21,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 13:00:00,13,9_16,-80.0,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 18:00:00,18,17_24,393.081,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 11:00:00,11,9_16,-80.0,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 12:00:00,12,9_16,-80.0,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 03:00:00,3,1_8,273.141,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
