task,model_name,target_day,business_day,ds,hour_business,period,y_pred,y_true,age_days,day_gate
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 01:00:00,1,1_8,344.92643785482323,329.5,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 03:00:00,3,1_8,298.7312740163684,330.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 04:00:00,4,1_8,249.31470279800487,315.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 05:00:00,5,1_8,233.042470988553,315.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 06:00:00,6,1_8,195.217715310003,299.5,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 07:00:00,7,1_8,75.42035894681091,241.5,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 08:00:00,8,1_8,215.1284789894828,340.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 12:00:00,12,9_16,269.1922607421875,243.375,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 09:00:00,9,9_16,280.77847122882565,358.225,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 11:00:00,11,9_16,238.986678913051,330.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 12:00:00,12,9_16,207.9651437904308,243.375,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 13:00:00,13,9_16,190.0293027807784,234.375,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 14:00:00,14,9_16,242.20723190766608,276.5,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 15:00:00,15,9_16,290.6338133572184,348.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 16:00:00,16,9_16,314.4106866941603,420.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 10:00:00,10,9_16,253.13536073607224,328.5,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 18:00:00,18,17_24,461.4149942105226,460.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 02:00:00,2,1_8,307.40581920363974,330.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 06:00:00,6,1_8,225.6326904296875,299.5,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 20:00:00,20,17_24,459.09889615481273,451.335,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 21:00:00,21,17_24,457.0598201825439,450.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 22:00:00,22,17_24,445.7868676603232,406.06,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 23:00:00,23,17_24,429.1870061830889,447.3,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-26 00:00:00,24,17_24,414.45818376885,435.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 01:00:00,1,1_8,265.9006652832031,329.5,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 02:00:00,2,1_8,266.199462890625,330.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 03:00:00,3,1_8,248.4944763183593,330.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 04:00:00,4,1_8,220.7622528076172,315.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 05:00:00,5,1_8,243.83282470703125,315.0,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 19:00:00,19,17_24,452.4415362135172,462.925,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 07:00:00,7,1_8,277.0301513671875,241.5,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 08:00:00,8,1_8,307.49432373046875,340.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 09:00:00,9,9_16,283.7074584960937,358.225,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 10:00:00,10,9_16,289.6393737792969,328.5,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 11:00:00,11,9_16,264.6809387207031,330.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 06:00:00,6,1_8,171.59053,299.5,30,0.3
dayahead,lightgbm,2026-01-25,2026-01-25,2026-01-25 17:00:00,17,17_24,460.6272006926631,452.43,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 14:00:00,14,9_16,243.72332763671875,276.5,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 21:00:00,21,17_24,480.06256103515625,450.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 15:00:00,15,9_16,279.4704895019531,348.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 16:00:00,16,9_16,372.1731872558594,420.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 17:00:00,17,17_24,337.3741760253906,452.43,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 18:00:00,18,17_24,427.9181518554688,460.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 20:00:00,20,17_24,459.0120544433594,451.335,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 22:00:00,22,17_24,440.8595275878906,406.06,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 05:00:00,5,1_8,173.83862,315.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 23:00:00,23,17_24,408.4566955566406,447.3,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-26 00:00:00,24,17_24,392.2245178222656,435.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 01:00:00,1,1_8,258.6007,329.5,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 02:00:00,2,1_8,229.57736,330.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 03:00:00,3,1_8,215.4307,330.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 04:00:00,4,1_8,198.23221,315.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 13:00:00,13,9_16,268.9052429199219,234.375,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 07:00:00,7,1_8,168.51253,241.5,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 08:00:00,8,1_8,221.15341,340.0,30,0.3
dayahead,timemixer,2026-01-25,2026-01-25,2026-01-25 19:00:00,19,17_24,476.05511474609375,462.925,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 10:00:00,10,9_16,279.97144,328.5,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 09:00:00,9,9_16,332.1444,358.225,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 11:00:00,11,9_16,220.69225,330.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 12:00:00,12,9_16,178.97864,243.375,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 13:00:00,13,9_16,156.26443,234.375,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 14:00:00,14,9_16,212.55144,276.5,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 16:00:00,16,9_16,392.55408,420.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 17:00:00,17,17_24,425.96964,452.43,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 15:00:00,15,9_16,306.7096,348.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 19:00:00,19,17_24,432.98907,462.925,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 20:00:00,20,17_24,432.7645,451.335,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 21:00:00,21,17_24,432.1661,450.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 22:00:00,22,17_24,427.25577,406.06,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 23:00:00,23,17_24,401.89355,447.3,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-26 00:00:00,24,17_24,381.21002,435.0,30,0.3
dayahead,timesfm,2026-01-25,2026-01-25,2026-01-25 18:00:00,18,17_24,457.06992,460.0,30,0.3
dayahead,lightgbm,2026-01-26,2026-01-26,2026-01-26 17:00:00,17,17_24,432.8214298610605,491.44,29,0.3137931034482759
dayahead,lightgbm,2026-01-26,2026-01-26,2026-01-26 06:00:00,6,1_8,361.15566701327145,420.0,29,0.3137931034482759
dayahead,lightgbm,2026-01-26,2026-01-26,2026-01-26 02:00:00,2,1_8,366.8253525714969,448.5,29,0.3137931034482759
dayahead,lightgbm,2026-01-26,2026-01-26,2026-01-26 03:00:00,3,1_8,364.3255787622897,430.0,29,0.3137931034482759
dayahead,lightgbm,2026-01-26,2026-01-26,2026-01-26 04:00:00,4,1_8,361.2790800184296,430.0,29,0.3137931034482759
dayahead,lightgbm,2026-01-26,2026-01-26,2026-01-26 05:00:00,5,1_8,364.3255787622897,418.75,29,0.3137931034482759
