task,business_day,hour_business,period,available_models,missing_models,raw_weights,renormalized_weights,renormalized,y_fused
realtime,2026-02-24,1,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873","rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873",False,354.1026
realtime,2026-02-24,2,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873","rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873",False,365.003
realtime,2026-02-24,3,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873","rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873",False,370.0692
realtime,2026-02-24,4,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873","rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873",False,368.1462
realtime,2026-02-24,5,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873","rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873",False,372.0005
realtime,2026-02-24,6,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873","rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873",False,370.8293
realtime,2026-02-24,7,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873","rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873",False,367.0388
realtime,2026-02-24,8,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873","rt916:0.0817,sgdfnet:0.7483,timemixer:0.0827,timesfm:0.0873",False,364.1427
realtime,2026-02-24,9,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168","rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168",False,329.9704
realtime,2026-02-24,10,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168","rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168",False,214.9425
realtime,2026-02-24,11,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168","rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168",False,136.0687
realtime,2026-02-24,12,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168","rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168",False,49.8466
realtime,2026-02-24,13,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168","rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168",False,6.2771
realtime,2026-02-24,14,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168","rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168",False,18.4128
realtime,2026-02-24,15,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168","rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168",False,80.7216
realtime,2026-02-24,16,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168","rt916:0.0490,sgdfnet:0.2873,timemixer:0.0470,timesfm:0.6168",False,156.3875
realtime,2026-02-24,17,17_24,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642","rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642",False,371.3097
realtime,2026-02-24,18,17_24,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642","rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642",False,470.2006
realtime,2026-02-24,19,17_24,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642","rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642",False,472.3405
realtime,2026-02-24,20,17_24,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642","rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642",False,439.957
realtime,2026-02-24,21,17_24,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642","rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642",False,419.0284
realtime,2026-02-24,22,17_24,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642","rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642",False,370.9262
realtime,2026-02-24,23,17_24,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642","rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642",False,364.7836
realtime,2026-02-24,24,17_24,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642","rt916:0.4845,sgdfnet:0.3876,timemixer:0.0638,timesfm:0.0642",False,341.758
