task,business_day,hour_business,period,available_models,missing_models,raw_weights,renormalized_weights,renormalized,y_fused
dayahead,2026-02-25,1,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410","lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410",False,268.3032
dayahead,2026-02-25,2,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410","lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410",False,256.1724
dayahead,2026-02-25,3,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410","lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410",False,260.8759
dayahead,2026-02-25,4,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410","lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410",False,260.2054
dayahead,2026-02-25,5,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410","lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410",False,253.1369
dayahead,2026-02-25,6,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410","lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410",False,262.9823
dayahead,2026-02-25,7,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410","lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410",False,269.7903
dayahead,2026-02-25,8,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410","lightgbm:0.1001,timemixer:0.0589,timesfm:0.8410",False,250.8944
dayahead,2026-02-25,9,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118","lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118",False,145.207
dayahead,2026-02-25,10,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118","lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118",False,53.194
dayahead,2026-02-25,11,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118","lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118",False,14.6235
dayahead,2026-02-25,12,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118","lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118",False,-37.0061
dayahead,2026-02-25,13,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118","lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118",False,-75.7973
dayahead,2026-02-25,14,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118","lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118",False,-74.3616
dayahead,2026-02-25,15,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118","lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118",False,-27.0377
dayahead,2026-02-25,16,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118","lightgbm:0.0441,timemixer:0.0441,timesfm:0.9118",False,54.8663
dayahead,2026-02-25,17,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100","lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100",False,280.8868
dayahead,2026-02-25,18,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100","lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100",False,432.628
dayahead,2026-02-25,19,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100","lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100",False,469.4832
dayahead,2026-02-25,20,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100","lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100",False,456.2343
dayahead,2026-02-25,21,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100","lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100",False,444.1029
dayahead,2026-02-25,22,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100","lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100",False,437.7115
dayahead,2026-02-25,23,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100","lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100",False,420.2725
dayahead,2026-02-25,24,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100","lightgbm:0.1974,timemixer:0.0926,timesfm:0.7100",False,400.7106
