target_day,task,model_name,n_pred,n_actual,n_expected,coverage_pct,status
2026-02-24,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-24,dayahead,timesfm,24,24,24,100.0,ok
2026-02-24,dayahead,timemixer,24,24,24,100.0,ok
2026-02-23,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-23,dayahead,timesfm,24,24,24,100.0,ok
2026-02-23,dayahead,timemixer,24,24,24,100.0,ok
2026-02-22,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-22,dayahead,timesfm,24,24,24,100.0,ok
2026-02-22,dayahead,timemixer,24,24,24,100.0,ok
2026-02-21,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-21,dayahead,timesfm,24,24,24,100.0,ok
2026-02-21,dayahead,timemixer,24,24,24,100.0,ok
2026-02-20,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-20,dayahead,timesfm,24,24,24,100.0,ok
2026-02-20,dayahead,timemixer,24,24,24,100.0,ok
2026-02-19,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-19,dayahead,timesfm,24,24,24,100.0,ok
2026-02-19,dayahead,timemixer,24,24,24,100.0,ok
2026-02-18,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-18,dayahead,timesfm,24,24,24,100.0,ok
2026-02-18,dayahead,timemixer,24,24,24,100.0,ok
2026-02-17,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-17,dayahead,timesfm,24,24,24,100.0,ok
2026-02-17,dayahead,timemixer,24,24,24,100.0,ok
2026-02-16,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-16,dayahead,timesfm,24,24,24,100.0,ok
2026-02-16,dayahead,timemixer,24,24,24,100.0,ok
2026-02-15,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-15,dayahead,timesfm,24,24,24,100.0,ok
2026-02-15,dayahead,timemixer,24,24,24,100.0,ok
2026-02-14,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-14,dayahead,timesfm,24,24,24,100.0,ok
2026-02-14,dayahead,timemixer,24,24,24,100.0,ok
2026-02-13,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-13,dayahead,timesfm,24,24,24,100.0,ok
2026-02-13,dayahead,timemixer,24,24,24,100.0,ok
2026-02-12,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-12,dayahead,timesfm,24,24,24,100.0,ok
2026-02-12,dayahead,timemixer,24,24,24,100.0,ok
2026-02-11,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-11,dayahead,timesfm,24,24,24,100.0,ok
2026-02-11,dayahead,timemixer,24,24,24,100.0,ok
2026-02-10,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-10,dayahead,timesfm,24,24,24,100.0,ok
2026-02-10,dayahead,timemixer,24,24,24,100.0,ok
2026-02-09,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-09,dayahead,timesfm,24,24,24,100.0,ok
2026-02-09,dayahead,timemixer,24,24,24,100.0,ok
2026-02-08,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-08,dayahead,timesfm,24,24,24,100.0,ok
2026-02-08,dayahead,timemixer,24,24,24,100.0,ok
2026-02-07,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-07,dayahead,timesfm,24,24,24,100.0,ok
2026-02-07,dayahead,timemixer,24,24,24,100.0,ok
2026-02-06,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-06,dayahead,timesfm,24,24,24,100.0,ok
2026-02-06,dayahead,timemixer,24,24,24,100.0,ok
2026-02-05,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-05,dayahead,timesfm,24,24,24,100.0,ok
2026-02-05,dayahead,timemixer,24,24,24,100.0,ok
2026-02-04,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-04,dayahead,timesfm,24,24,24,100.0,ok
2026-02-04,dayahead,timemixer,24,24,24,100.0,ok
2026-02-03,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-03,dayahead,timesfm,24,24,24,100.0,ok
2026-02-03,dayahead,timemixer,24,24,24,100.0,ok
2026-02-02,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-02,dayahead,timesfm,24,24,24,100.0,ok
2026-02-02,dayahead,timemixer,24,24,24,100.0,ok
2026-02-01,dayahead,lightgbm,24,24,24,100.0,ok
2026-02-01,dayahead,timesfm,24,24,24,100.0,ok
2026-02-01,dayahead,timemixer,24,24,24,100.0,ok
2026-01-31,dayahead,lightgbm,24,24,24,100.0,ok
2026-01-31,dayahead,timesfm,24,24,24,100.0,ok
2026-01-31,dayahead,timemixer,24,24,24,100.0,ok
2026-01-30,dayahead,lightgbm,24,24,24,100.0,ok
2026-01-30,dayahead,timesfm,24,24,24,100.0,ok
2026-01-30,dayahead,timemixer,24,24,24,100.0,ok
2026-01-29,dayahead,lightgbm,24,24,24,100.0,ok
2026-01-29,dayahead,timesfm,24,24,24,100.0,ok
2026-01-29,dayahead,timemixer,24,24,24,100.0,ok
2026-01-28,dayahead,lightgbm,24,24,24,100.0,ok
2026-01-28,dayahead,timesfm,24,24,24,100.0,ok
2026-01-28,dayahead,timemixer,24,24,24,100.0,ok
2026-01-27,dayahead,lightgbm,24,24,24,100.0,ok
2026-01-27,dayahead,timesfm,24,24,24,100.0,ok
2026-01-27,dayahead,timemixer,24,24,24,100.0,ok
2026-01-26,dayahead,lightgbm,24,24,24,100.0,ok
2026-01-26,dayahead,timesfm,24,24,24,100.0,ok
2026-01-26,dayahead,timemixer,24,24,24,100.0,ok
