task,model_name,target_day,business_day,ds,hour_business,period,y_pred,y_true,age_days,day_gate
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 22:00:00,22,17_24,408.9694213867188,356.098,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-27 00:00:00,24,17_24,388.5362548828125,315.845,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 17:00:00,17,17_24,381.8482971191406,486.036,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 15:00:00,15,9_16,204.3115997314453,356.98,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 16:00:00,16,9_16,313.9925842285156,373.916,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 18:00:00,18,17_24,408.1876525878906,534.75,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 02:00:00,2,1_8,365.87786865234375,334.93,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 20:00:00,20,17_24,431.9461975097656,401.106,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 21:00:00,21,17_24,449.67376708984375,354.098,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 19:00:00,19,17_24,447.3843994140625,463.411,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 23:00:00,23,17_24,401.4861755371094,323.133,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 03:00:00,3,1_8,366.9352416992188,334.594,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 12:00:00,12,9_16,120.7134246826172,1051.962,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 10:00:00,10,9_16,262.67938232421875,1291.302,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 09:00:00,9,9_16,366.2850341796875,813.45,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 08:00:00,8,1_8,395.14935302734375,332.64,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 07:00:00,7,1_8,352.4963684082031,324.586,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 06:00:00,6,1_8,333.115966796875,329.201,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 05:00:00,5,1_8,340.1264953613281,329.854,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 04:00:00,4,1_8,340.90948486328125,334.254,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 13:00:00,13,9_16,109.36346435546876,442.419,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 14:00:00,14,9_16,130.4697265625,394.373,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 01:00:00,1,1_8,332.42978,331.888,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 20:00:00,20,17_24,413.88123,401.106,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 03:00:00,3,1_8,337.70236,334.594,30,0.3
realtime,timemixer,2026-01-26,2026-01-26,2026-01-26 01:00:00,1,1_8,365.3838806152344,331.888,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 17:00:00,17,17_24,415.2521,486.036,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 18:00:00,18,17_24,444.05353,534.75,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 19:00:00,19,17_24,419.66733,463.411,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-27 00:00:00,24,17_24,349.97913,315.845,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 21:00:00,21,17_24,405.81793,354.098,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 22:00:00,22,17_24,395.68033,356.098,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 23:00:00,23,17_24,375.67087,323.133,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 02:00:00,2,1_8,324.59827,334.93,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 16:00:00,16,9_16,375.0589,373.916,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 14:00:00,14,9_16,268.66214,394.373,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 15:00:00,15,9_16,304.89554,356.98,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 13:00:00,13,9_16,237.24927,442.419,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 11:00:00,11,9_16,397.80743,1275.122,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 10:00:00,10,9_16,450.32404,1291.302,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 09:00:00,9,9_16,510.32068,813.45,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 08:00:00,8,1_8,422.7708,332.64,30,0.3
realtime,timesfm,2026-01-26,2026-01-26,2026-01-26 07:00:00,7,1_8,347.54755,324.586,30,0.3
